CX274   265.52615829    -27.861814996 
CX275   265.52242555    -26.846173806 
CX276   265.38240370    -28.006846160 
CX277   265.37959546    -27.889754396 
CX278   265.18554326    -26.987038510 
CX279   264.86534343    -27.353021320 
CX280   264.82182045    -28.499205605 
CX281   264.22185005    -29.563200545 
CX282   264.14346206    -28.892738425 
CX283   264.12714732    -30.136848805 
CX284   264.10397150    -28.417386091 
CX285   263.82452325    -29.184471868 
CX286   263.30004162    -30.131062336 
CX287   263.04430657    -29.768404472 
CX288   262.87357667    -30.099567917 
CX289   268.66303387    -28.147275295 
CX290   268.55130136    -28.286482357 
CX291   267.63398637    -29.605510087 
CX292   266.00438654    -27.310118535 
CX293   265.00267429    -27.804603281 
CX294   268.64723768    -27.749827729 
CX295   268.29585231    -28.707756243 
CX296   267.46294468    -29.936575547 
CX297   267.34910288    -30.137728535 
CX298   265.90719864    -26.278770756 
CX299   264.77326891    -28.016279129 
CX300   263.46473218    -30.108468369 
CX301   269.15607833    -27.369891543 
CX302   269.13908487    -27.175122181 
CX303   269.00928024    -27.656312147 
CX304   269.00897780    -27.655493765 
CX305   268.99255061    -27.858000255 
CX306   268.97018555    -27.547878752 
CX307   268.63295038    -28.634302136 
CX308   268.61123887    -27.988807843 
CX309   268.34910749    -28.556941075 
CX310   268.16368483    -28.918403627 
CX311   267.11703696    -30.933434278 
CX312   267.02728258    -31.219192372 
CX313   266.79627240    -31.126534097 
CX314   266.64540428    -31.813338825 
CX315   266.60807209    -25.570531933 
CX316   266.46624199    -31.584106641 
CX317   266.42894391    -31.847301644 
CX318   266.42699901    -31.010421603 
CX319   266.21292953    -31.619835290 
CX320   266.14572535    -26.821332086 
CX321   266.02939267    -31.522778624 
CX322   266.02880237    -27.440900316 
CX323   266.00562332    -27.310052383 
CX324   265.99178070    -31.714954468 
CX325   265.57612306    -27.953114502 
CX326   265.38057319    -27.166441884 
CX327   265.01189869    -28.235335951 
CX328   264.95823356    -28.887465712 
CX329   264.68073249    -28.603759424 
CX330   264.18289673    -28.356142972 
CX331   264.09781705    -29.376266856 
